time,symbol,open,high,low,close,pat_score,pat_bias,pat_name,pat_engulfing,pat_doji,pat_hammer,pat_shooting_star,pat_harami,pat_morning_star,pat_evening_star,pat_marubozu
2026-07-22 11:00:00,EURUSD,1.14094,1.14104,1.14052,1.14052,-100.0,-1,"pat_engulfing=-100,pat_harami=-100",-100,0,0,0,-100,0,0,0
2026-07-22 11:15:00,EURUSD,1.14052,1.14097,1.14039,1.14083,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 11:30:00,EURUSD,1.14084,1.14126,1.14084,1.14115,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 11:45:00,EURUSD,1.14115,1.14122,1.14082,1.14101,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 12:00:00,EURUSD,1.141,1.14124,1.14082,1.14096,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 12:15:00,EURUSD,1.14096,1.14101,1.14076,1.14092,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 12:30:00,EURUSD,1.14092,1.14134,1.14084,1.14087,0.0,0,"pat_doji=100,pat_shooting_star=-100",0,100,0,-100,0,0,0,0
2026-07-22 12:45:00,EURUSD,1.14088,1.14094,1.14042,1.14048,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 13:00:00,EURUSD,1.14047,1.14059,1.14004,1.14029,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 13:15:00,EURUSD,1.14029,1.14077,1.14021,1.14052,100.0,1,pat_engulfing=100,100,0,0,0,0,0,0,0
2026-07-22 13:30:00,EURUSD,1.14052,1.14062,1.14035,1.14052,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 13:45:00,EURUSD,1.14052,1.1407,1.14028,1.14036,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 14:00:00,EURUSD,1.14035,1.1405,1.14024,1.14046,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 14:15:00,EURUSD,1.14045,1.14065,1.14025,1.1404,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 14:30:00,EURUSD,1.14041,1.14066,1.14034,1.14052,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 14:45:00,EURUSD,1.14051,1.14075,1.14038,1.14069,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 15:00:00,EURUSD,1.1407,1.14113,1.14066,1.14112,100.0,1,pat_marubozu=100,0,0,0,0,0,0,0,100
